Text,Date,label
"Amazon is considering impleading Reliance Industries in the legal battle with Future Group after RIL seized control of 950-odd Big Bazaar stores, a move the e-commerce giant claims will prevent it from keeping Future Retail afloat and lenders from recovering their due",02-05-2022,Negative
"With the new Reliance Jio prepaid plans, one won’t be required to separately buy Disney+ Hotstar subscription to watch all the cricket matches.",04-05-2022,Neutral
"Reliance Industries’ FCF was negative in FY22 vs FCF generation in H1FY22, as per Kotak.Key return ratios have been underwhelming at sub-10 or low double-digit levels",09-05-2022,Negative
The Jeff Bezos-led e-commerce giant has now accused independent directors of Future Retail of facilitating a 'fraudulent stratagem' of transfer of 835 stores to Mukesh Ambani's Reliance Group.,22-05-2022,Neutral
"The private telecom operators of India including Bharti Airtel, Reliance Jio and Vodafone Idea are likely to hike the prices of their prepaid plans once again by Diwali 2022.",25-05-2022,Neutral
Warns of legal action to block sale of FRL assets to Reliance Retail as part of a $3.4-billion deal,07-06-2022,Negative
Reliance Jio Infocomm Ltd said it appointed non-executive director and Mukesh's son Akash Ambani as the chairman of the board.,28-06-2022,Neutral
"Investors will be focusing on earnings from heavyweights Reliance Industries, ICICI Bank, Hindustan Unilever and Wirpo this week",18-07-2022,Neutral
"RIL posted double-digit growth in the bottom-line front, while revenue was robust on the back O2C business that delivered its best ever quarterly performance despite volatile conditions. Reliance Retail and Reliance Jio earnings were also strong in the quarter.",23-07-2022,Positive
The performance of Reliance Industries Ltd’s O2C segment was below expectations in the first quarter of FY23.The firm’s capital expenditure in Q1FY23 remained high; net debt rose sequentially,24-07-2022,Negative
"Among Sensex constituents, Tata Steel, Sun Pharma, Bajaj Finserv, IndusInd Bank, Infosys, Asian Paints, Reliance Industries and Bajaj Finance were the biggest gainer",29-07-2022,Positive
"Reliance Retail added over 17,000 jobs in the quarter for a total of 379,000, according to its latest earnings announcement",31-07-2022,Neutral
"With a market valuation of ₹17,14,256.39 Crore, Reliance Industries Ltd. is a large cap corporation that produces petroleum products.",07-08-2022,Neutral
Mukesh Ambani said Reliance Industries’ massive investments in green energy aim to replicate the swift success it achieved in the telecom industry and make India the most affordable destination for green energy globally within the decade,08-08-2022,Positive
"Yearly Prepaid plans offered by telecom operators like Reliance Jio, Airtel and Vodafone Idea (Vi) can offer great data and calling plans.",21-08-2022,Neutral
"Mukesh Ambani’s Reliance Industries Ltd. is the mystery buyer of an $80 million beach-side villa in Dubai, the city’s biggest ever residential property deal, two people familiar with the deal said.",26-08-2022,Neutral
"At the Reliance AGM, Mukesh Ambani clarifies succession for the company's shareholders. The tycoon's three children, Akash, Isha, and Anant, will each run a different company.",29-08-2022,Neutral
Reliance Industries has announced huge capex plans for 5G roll-out and expanding O2C capacities,30-08-2022,Positive
Shares of Reliance Industries fell nearly 3 per cent on Thursday after the government raised the tax on export of diesel and jet fuel (ATF) and hiked the windfall profit levy on domestically-produced crude oil.,01-09-2022,Positive
It is also in talks with several regional and local brands to help them expand their operations.Reliance plans to form a JV with AJE to capitalize on manufacturing and distribution capacity,08-09-2022,Neutral
"Days after announcing debt investment, US investment firm Värde Partners will pick up around 15% equity stake with an investment of ₹933 crore (around $117 million) in businessman Anil Ambani group’s debt-laden Reliance Power Ltd (RPL).",08-09-2022,Neutral
"Good morning! Here are the top stories to start your day. For more updates on F&O, click here. ⭐ RIL to acquire polyester firms Reliance Industries is set to acquire the polyester business of Shubhalakshmi Polyesters Limited (SPL) and Shubhlaxmi Polytex Limited (SPTex). The acquisitions are worth ₹1,522 crore and ₹70 crore, respectively and are part of…",12-09-2022,Neutral
"Conglomerates such as Adani Group and billionaire Mukesh Ambani’s Reliance Industries are trying to grab a share of India’s food production industry which is pegged at $400 billion, according to the UN’s Food and Agriculture Organization",14-09-2022,Neutral
Reliance Retail is acquiring the India franchisee business of Sephora from Arvind Fashions, according to three people familiar with the development.,Neutral
Reliance Retail has already informed various mal,20-09-2022,Neutral
The retailer opened its first Reliance Centro store in New Delhi’s Vasant Kunj,27-09-2022,Neutral
"The proceeds will be utilised to settle debts, Reliance Power said in a regulatory filing.",12-10-2022,Neutral
"Private telecom operator Reliance Jio toppled state-run BSNL in August to become the largest fixed-line service provider in the country, according to a Trai report released on Tuesday.",18-10-2022,Positive
"Shares of Reliance Industries Ltd ended at Rs 2,592.45, up by Rs 36.50, or 1.43 percent on the BSE.",04-11-2022,Neutral
"The deal is going to help Reliance Retail, the country’s largest retailer, expand its presence in the B2B segment",06-11-2022,Positive
Bidders for Reliance Capital and its subsidiaries have sought greater clarity on the bidding process before raising their offers,02-12-2022,Neutral
Reliance capital bidding: The Hinduja group also participated in today's auction but lost the race with a Rs 500 crore lower offer,21-12-2022,Negative
Jio New Year Launch Offer: Reliance Jio has launched the new Rs 2023 prepaid plan to celebrate the New Year. Check out the details right here!,23-12-2022,Neutral
